FACULTAD DE TELEMÁTICA,,,,,,,,,,,
HORARIOS SEMESTRE ENERO 2014 - JULIO 2014,,,,,,,,,,,
GPO,UNIDAD DE APRENDIZAJE,HCA,PROFESOR/A,L,M,Mi,J,V,LUGAR,,
6E,TESTEO Y MÉTODOS DE USABILIDAD,3,SANTANA MANCILLA PEDRO,10/11,,,,,L IH-C,,
6E,TESTEO Y MÉTODOS DE USABILIDAD,3,SANTANA MANCILLA PEDRO,,,2,,,L IH-C,,
6E,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,,,,3/4,,L IH-C,,
6G,COMUNICACIONES ÓPTICAS,4,MOCTEZUMA HERNÁNDEZ JOSÉ,1/2,,,3,3,L MM,,
6G,INGLÉS,3,MAESTRO WW,3/4,3,,,,L MM,,
6G,SEMINARIO DE INVESTIGACIÓN I,3,COBIÁN ALVARADO MÓNICA,5,4,,,4,L MM,,
6G,DIRECCIÓN DE PROYECTOS,3,CAMORLINGA CAMACHO SOFÍA MAGALLI,,,,2,,L IH-C,,
6G,DIRECCIÓN DE PROYECTOS,3,CAMORLINGA CAMACHO SOFÍA MAGALLI,,1/2,,,,L MM,,
6G,COMUNICACIONES MÓVILES Y SATELITALES,4,ÁLVAREZ CÁRDENAS OMAR,6/7,,,,5/6,L Arquitectura,,
6G,BASES DE DATOS DISTRIBUIDAS,4,MAESTRO VV,,,,,1/2,D Comp Lab,,
6G,ADMINISTRACIÓN Y SEGURIDAD DE REDES,4,MAESTRO ZZ,,7,,4/5,7,L CISCO,,
6G,BASES DE DATOS DISTRIBUIDAS,4,MAESTRO VV,,5/6,,,,L D Software,,
6G,SEMINARIO DE INVESTIGACIÓN I,3,COBIÁN ALVARADO MÓNICA,,8,,6/7,,L MM,,
6H,COMUNICACIONES ÓPTICAS,4,MOCTEZUMA HERNÁNDEZ JOSÉ,12/13,12/13,,,,Auditorio 2,,
6H,INGLÉS,3,MAESTRO WW,10/11,11,,,,L MM,,
6H,DIRECCIÓN DE PROYECTOS,3,CAMORLINGA CAMACHO SOFÍA MAGALLI,14,14/15,,,,Auditorio 1,,
6H,COMUNICACIONES MÓVILES Y SATELITALES,4,ÁLVAREZ CÁRDENAS OMAR,,,4/5,5/6,,L Arquitectura,,
6H,BASES DE DATOS DISTRIBUIDAS,4,MAESTRO VV,,,1/2,,,D Comp Lab,,
6H,ADMINISTRACIÓN Y SEGURIDAD DE REDES,4,MAESTRO ZZ,15,,6/7,3,,L CISCO,,
6H,BASES DE DATOS DISTRIBUIDAS,4,MAESTRO VV,,,,7/8,,L D Software,,
6H,SEMINARIO DE INVESTIGACIÓN I,3,COBIÁN ALVARADO MÓNICA,,,8/9,9,,L Cómp Móv,,
6J,SEMINARIO DE INVESTIGACIÓN I,3,COBIÁN ALVARADO MÓNICA,,,,8,,Auditorio 1,,
